Date,Vendor,Quantity,Product_Type,Category,Brand,Grade,Size,Warehouse,Vendor_Address,GIK_Per_Unit,Total_GIK
01/01/23,Everything Else,1835,Footwear,Sneakers,Generic,New,11,Nashville,"1 Fictional St, Everything Else City, State 01",14.63,26846.05
01/01/23,Company 4,2803,Footwear,Sneakers,Brand A,Gently Used,5,Atlanta,"5 Fictional St, Company 4 City, State 05",30.85,86472.55
01/01/23,Everything Else,3882,Footwear,Sneakers,Generic,Worn,8,LA,"1 Fictional St, Everything Else City, State 01",30.02,116537.64
01/01/23,Company 3,1797,Footwear,Sneakers,Brand A,Gently Used,12,LA,"4 Fictional St, Company 3 City, State 04",0.86,1545.42
01/01/23,Company 5,1922,Apparel,Coats,Brand A,Gently Used,M,Nashville,"6 Fictional St, Company 5 City, State 06",50.67,97387.74
01/01/23,Everything Else,2692,Apparel,Shirts,Generic,New,XL,LA,"1 Fictional St, Everything Else City, State 01",1.71,4603.32
01/01/23,Company 9,4013,Footwear,Sneakers,Generic,Gently Used,11,Atlanta,"10 Fictional St, Company 9 City, State 10",0.12,481.56
01/01/23,Everything Else,1593,Footwear,Sneakers,Generic,Worn,8,Atlanta,"1 Fictional St, Everything Else City, State 01",2.35,3743.55
01/01/23,Everything Else,1564,Apparel,Shirts,Brand B,Gently Used,XL,LA,"1 Fictional St, Everything Else City, State 01",24.71,38646.44
01/01/23,Everything Else,2008,Footwear,Sneakers,Brand A,Gently Used,9,NY,"1 Fictional St, Everything Else City, State 01",25.36,50922.88
01/01/23,Company 14,2049,Footwear,Boots,Brand C,Gently Used,12,Chicago,"15 Fictional St, Company 14 City, State 15",7.06,14465.94
01/01/23,Company 11,6747,Footwear,Boots,Brand C,Gently Used,10,Chicago,"12 Fictional St, Company 11 City, State 12",0.03,202.41
01/01/23,Everything Else,3750,Footwear,Sneakers,Brand B,New,8,Nashville,"1 Fictional St, Everything Else City, State 01",0.38,1425
01/01/23,Company 15,1613,Footwear,Boots,Brand C,Gently Used,12,NY,"16 Fictional St, Company 15 City, State 16",0.02,32.26
01/01/23,Company 3,2606,Footwear,Boots,Brand B,Gently Used,7,LA,"4 Fictional St, Company 3 City, State 04",20.58,53631.48
01/01/23,Everything Else,1956,Apparel,Shirts,Brand B,Gently Used,XL,Nashville,"1 Fictional St, Everything Else City, State 01",0.18,352.08
01/01/23,Everything Else,2018,Footwear,Sneakers,Brand C,Gently Used,7,Chicago,"1 Fictional St, Everything Else City, State 01",3.96,7991.28
