Date,Inventory_Level
01/01/23,947697
02/01/23,946798
03/01/23,961435
04/01/23,958282
05/01/23,969981
06/01/23,972015
07/01/23,979292
08/01/23,976142
09/01/23,950999
10/01/23,980900
11/01/23,998498
12/01/23,998450
13/01/23,983123
14/01/23,1002120
15/01/23,987250
16/01/23,987494
17/01/23,1010821
18/01/23,1007791
19/01/23,1003611
20/01/23,1021024
21/01/23,1008806
22/01/23,1027123
23/01/23,1066442
24/01/23,1076379
25/01/23,1085312
26/01/23,1082972
27/01/23,1091599
28/01/23,1132869
29/01/23,1109782
30/01/23,1099024
31/01/23,1048765
01/02/23,1062989
02/02/23,1063119
03/02/23,1036245
04/02/23,1020996
05/02/23,998083
06/02/23,980286
07/02/23,968633
08/02/23,990481
09/02/23,988456
10/02/23,1001099
11/02/23,975738
12/02/23,980912
13/02/23,940891
14/02/23,933484
15/02/23,949030
16/02/23,966716
17/02/23,932053
18/02/23,928022
19/02/23,905758
20/02/23,889063
21/02/23,880916
22/02/23,848477
23/02/23,851490
24/02/23,844567
25/02/23,852555
26/02/23,890543
27/02/23,921626
28/02/23,905489
01/03/23,916963
02/03/23,901661
03/03/23,895109
04/03/23,882915
05/03/23,894782
06/03/23,875335
07/03/23,846706
08/03/23,829159
09/03/23,809640
10/03/23,812929
11/03/23,822692
12/03/23,802403
13/03/23,804164
14/03/23,806560
15/03/23,807613
16/03/23,806176
17/03/23,809710
18/03/23,788390
19/03/23,791403
20/03/23,793624
21/03/23,821347
22/03/23,826327
23/03/23,801289
24/03/23,791345
25/03/23,741335
26/03/23,721288
27/03/23,705813
28/03/23,707232
29/03/23,719538
30/03/23,724316
31/03/23,747413
01/04/23,739402
02/04/23,745902
03/04/23,736635
04/04/23,746677
05/04/23,729810
06/04/23,740082
07/04/23,750889
08/04/23,763884
09/04/23,792017
10/04/23,780700
11/04/23,788733
12/04/23,781662
13/04/23,790767
14/04/23,819600
15/04/23,832689
16/04/23,829023
17/04/23,845355
18/04/23,826664
19/04/23,835893
20/04/23,876534
21/04/23,877984
22/04/23,882078
23/04/23,881338
24/04/23,888714
25/04/23,921546
26/04/23,927577
27/04/23,922905
28/04/23,926000
29/04/23,897112
30/04/23,908963
01/05/23,911561
02/05/23,892353
03/05/23,892218
04/05/23,906774
05/05/23,900707
06/05/23,874994
07/05/23,891938
08/05/23,884354
09/05/23,869627
10/05/23,842672
11/05/23,851212
12/05/23,858466
13/05/23,865659
14/05/23,851674
15/05/23,847903
16/05/23,797570
17/05/23,763770
18/05/23,767964
19/05/23,777600
20/05/23,750158
21/05/23,781268
22/05/23,777173
23/05/23,772590
24/05/23,768309
25/05/23,738342
26/05/23,738187
27/05/23,725829
28/05/23,725328
29/05/23,724925
30/05/23,735083
31/05/23,716159
01/06/23,723076
02/06/23,705652
03/06/23,680996
04/06/23,670224
05/06/23,656651
06/06/23,654216
07/06/23,665250
08/06/23,667501
09/06/23,669748
10/06/23,701003
11/06/23,678683
12/06/23,685498
13/06/23,688490
14/06/23,695499
15/06/23,703091
16/06/23,708155
17/06/23,712144
18/06/23,706764
19/06/23,695583
20/06/23,716133
21/06/23,729684
22/06/23,704108
23/06/23,714390
24/06/23,723047
25/06/23,738243
26/06/23,749657
27/06/23,717906
28/06/23,714187
29/06/23,690719
30/06/23,696476
01/07/23,701563
02/07/23,697850
03/07/23,711331
04/07/23,681078
05/07/23,687187
06/07/23,672340
07/07/23,672754
08/07/23,656349
09/07/23,649164
10/07/23,653050
11/07/23,660589
12/07/23,664995
13/07/23,650160
14/07/23,662013
15/07/23,646093
16/07/23,664202
17/07/23,668838
18/07/23,675153
19/07/23,679255
20/07/23,676421
21/07/23,688655
22/07/23,698428
23/07/23,690380
24/07/23,672501
25/07/23,672963
26/07/23,692567
27/07/23,663478
28/07/23,684969
29/07/23,666315
30/07/23,674886
31/07/23,672839
01/08/23,674211
02/08/23,674521
03/08/23,693516
04/08/23,702181
05/08/23,716040
06/08/23,732077
07/08/23,742604
08/08/23,758774
09/08/23,785489
10/08/23,790107
11/08/23,790976
12/08/23,798371
13/08/23,835093
14/08/23,832963
15/08/23,856329
16/08/23,845017
17/08/23,838264
18/08/23,849180
19/08/23,865765
20/08/23,853360
21/08/23,869719
22/08/23,887423
23/08/23,881246
24/08/23,887600
25/08/23,875223
26/08/23,873800
27/08/23,902033
28/08/23,906541
29/08/23,900297
30/08/23,908065
31/08/23,856614
